Test#,File,Comment,Input_1,Expected_output_1,Expected_output_2,Expected_output_3,Expected_output_4,Expected_output_5,Expected_output_6,Expected_output_7,Expected_output_8,Expected_output_9,Expected_output_10,Expected_output_11,Expected_output_12,Expected_output_13,Expected_output_14,Expected_output_15,Expected_output_16,Expected_output_17,Expected_output_18,Expected_output_19,Expected_output_20,Expected_output_21,Expected_output_22,Expected_output_23,Expected_output_24,Expected_output_25,Expected_output_26,Expected_output_27,Expected_output_28,Expected_output_29,Expected_output_30,Expected_output_31,Expected_output_32,Max_cycles,Mailboxes_used,Cycles_used,Halted(1)_or_Terminated(0),Outputs
1,divisorsCOMP1071.txt,input-0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,5,1,0
2,divisorsCOMP1071.txt,input-1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,9,1,1
3,divisorsCOMP1071.txt,input-2,60,1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60, , , , , , , , , , , , , , , , , , , , ,50000,73 ,1350,1,1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60
4,divisorsCOMP1071.txt,input-3,512,1, 2, 4, 8, 16, 32, 64, 128, 256, 512, , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,17135,1,1, 2, 4, 8, 16, 32, 64, 128, 256, 512
5,divisorsCOMP1071.txt,input-4,360,1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 20, 24, 30, 36, 40, 45, 60, 72, 90, 120, 180, 360, , , , , , , , ,50000,73 ,11353,1,1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 20, 24, 30, 36, 40, 45, 60, 72, 90, 120, 180, 360
6,divisorsCOMP1071.txt,input-5,720,1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 18, 20, 24, 30, 36, 40, 45, 48, 60, 72, 80, 90, 120, 144, 180, 240, 360, 720, , ,50000,73 ,25237,1,1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 18, 20, 24, 30, 36, 40, 45, 48, 60, 72, 80, 90, 120, 144, 180, 240, 360, 720
7,divisorsCOMP1071.txt,input-6,840,1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15, 20, 21, 24, 28, 30, 35, 40, 42, 56, 60, 70, 84, 105, 120, 140, 168, 210, 280, 420, 840,50000,73 ,30115,1,1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15, 20, 21, 24, 28, 30, 35, 40, 42, 56, 60, 70, 84, 105, 120, 140, 168, 210, 280, 420, 840
8,divisorsCOMP1071.txt,input-7,837,1, 3, 9, 27, 31, 93, 279, 837, , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,17119,1,1, 3, 9, 27, 31, 93, 279, 837
9,divisorsCOMP1071.txt,input-8,899,1, 29, 31, 899, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,18554,1,1, 29, 31, 899
10,divisorsCOMP1071.txt,input-9,979,1, 11, 89, 979, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,20419,1,1, 11, 89, 979
11,divisorsCOMP1071.txt,input-10,997,1, 997, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50000,73 ,20840,1,1, 997
